0,-0.299994,0.8,38.5,2.40001,0.5,0,0,0
0,0.535806,-0.186096,38.8001,1.59999,0.2,-0.2,0,0
0,-1.09999,0.1,67.6502,-0.950003,0.387502,-0.45,0,0
0,-6.32231,0.424611,69.2001,-4.54218,0.2,-0.0390598,0,0
0,-0.900002,-0.8,2.5,1.6,0.5,0,0,0
0,-0.599992,-0.2,50.8001,2.4,0.2,0.2,0,0
-0.4,6.70001,0.2,24.5,7.80001,-0.5,0,0,0
0,4.20001,-0.6,47.44,6.30001,0.43,-0.3,0,0
0,-1.20001,-1,57,1.6,0.5,0,0,0
0,7.30001,0.8,62605,9.30001,-0.705001,-0.75,0,0
0,-8.79999,-1,70.0001,-6.59998,0.2,-0.3,0,0
0.2,0.362637,0.594434,37,4.2271,-0.5,0.0772701,0,0
0.4,2.7,0.8,11,7.2,-0.5,0,0,0
0,-1.19999,0.2,13.5,-1.59999,-0.5,0,0,0
0,2.8865,-0.00662313,21.8,4.71497,0.2,-0.0390598,0,0
0,4.74266,0.0235366,71,7.12872,0.2,-0.0846646,0,0
0,3.44758,0.0376318,68.5129,6.29893,0.25867,0.0987191,0,0
0,-7.69999,0.1,72.5,-4.49999,0.5,0.1,0,0
0,6.69934,0.311938,58.2002,8.71823,0.2,0.0846646,0,0
0,6.0003,0.6293,49.6001,9.80777,-0.2,-0.496113,0,0
0,3.20001,-0.8,11.4,6,-0.2,-0.6,0,0
0,5.40001,1,61015,10.4,-0.555002,1,0,0
0.4,2.2,0.8,6,4.6,-0.5,0,0,0
-0.4,0.800006,-2.98023e-08,17.6,5.20002,-0.2,-0.15,0,0
0,-4.45771,0.199719,54.5476,2.11786,0.36427,0.581191,0,0
0,-10.9,-0.5,41.4001,-5.54999,-0.2,0.15,0,0
0,-0.259286,0.317182,71,1.59998,0.5,0,0,0
0,6.90001,1,41.28,9.15001,-0.560001,0.85,0,0
0,-1.85001,0,70.3563,0.132901,-0.268745,0.0609402,0,0
0,-0.220119,0.0229828,16.0913,2.35267,-0.739613,0.11313,0,0
0,-0.799995,-0.6,49.0001,0.200036,0.2,0.05,0,0
-0.2,-11.9632,-0.0495823,27.3252,-8.83211,0.612214,0.264882,0,0
0,-5.40758,0.319388,71,-3.39142,-1,0.0390598,0,0
0,8.18018,-0.362149,48.8001,8.16726,-0.2,-0.448083,0,0
-0.4,2.15213,-0.209739,18.1207,-0.623835,0.36427,-0.581191,0,0
0,-8.79999,0,48,-8.2,0.5,-0.1,0,0
0,1.4,0.2,3.47849,1.35,-0.280005,0.05,0,0
0,4.4,-0.3,12,5.4,0.5,0,0,0
0,-4.96644,-0.386557,74.3675,-2.08036,-0.544173,-0.49247,0,0
0.2,4.9,0.0999999,10,6.2,-0.5,0,0,0
0,1.50001,-0.0999999,52,0.200009,0.5,0,0,0
0,4.50001,-0.2,31,2.40001,0.5,0,0,0
0,1.31136,-1,44.3481,0.613781,0.36427,-0.581191,0,0
0,-0.0377121,0.15988,63,2,0.5,0,0,0
0,-2.48483,-0.00379434,59.0772,-0.779192,0.496386,-0.218475,0,0
0,5.86487,0.499125,49.0001,8.59999,0.2,0.2,0,0
0,2.7,0.2,44606,5.25003,0.255006,0.05,0,0
0,0.200003,0.5,36.75,1.39999,-0.25,0.2,0,0
0,1.09017,1,11.6277,9.26486,-0.643724,0.738594,0,0
-0.2,-6.4,-0.4,34.7501,-5.79999,-0.549998,-0.3,0,0
-0.4,-0.199997,-0.3,20.5,1.00001,0.5,-0.4,0,0
0,-7.99999,0,47.2001,-7.39999,-0.2,0.6,0,0
0,0.165713,-0.0194207,46,1.85149,-0.5,0.0741914,0,0
0,16.8358,-0.0117917,22,18.4,0.2,-0.2,0,0
