146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,0,0,-146
146,130,114,-16
146,132,116,-14
146,134,118,-12
146,135,119,-11
146,136,120,-10
146,137,121,-9
146,138,122,-8
146,139,123,-7
146,140,124,-6
146,141,125,-5
146,142,126,-4
146,143,127,-3
146,144,128,-2
146,145,129,-1
146,146,130,0
146,147,131,1
143,149,133,6
138,151,135,13
132,153,137,21
130,154,138,24
129,155,139,26
129,156,140,27
129,157,141,28
132,159,143,27
137,161,145,24
143,163,147,20
149,165,149,16
155,167,151,12
160,169,153,9
165,171,155,6
171,173,157,2
173,174,158,1
174,175,159,1
174,176,160,2
174,177,161,3
174,178,162,4
174,179,163,5
174,180,164,6
174,181,165,7
177,183,167,6
183,185,169,2
188,187,171,-1
191,189,173,-2
191,191,175,0
191,192,176,1
191,193,177,2
191,191,176,0
191,190,175,-1
191,188,174,-3
191,187,173,-4
191,185,172,-6
191,184,171,-7
191,182,170,-9
191,181,169,-10
191,179,168,-12
191,178,167,-13
191,176,166,-15
191,175,165,-16
191,172,163,-19
191,169,161,-22
189,166,159,-23
184,163,157,-21
178,160,155,-18
172,157,153,-15
166,154,151,-12
161,151,149,-10
156,148,147,-8
150,145,145,-5
144,142,143,-2
138,139,141,1
132,136,139,4
126,133,137,7
121,130,135,9
116,127,133,11
110,124,131,14
104,121,129,17
98,118,127,20
96,116,126,20
95,115,125,20
95,113,124,18
95,112,123,17
95,110,122,15
95,109,121,14
95,107,120,12
95,106,119,11
95,104,118,9
95,103,117,8
95,101,116,6
